ID Cliente,Resenha
1918,"Ele não deu conta de uma banana cortada em rodelas, além de descarregar muito rápido!Só consigo usar para dissolver whey e creatina!, coisa que eu faria sem esse liquidificador"
2204,"Achei o produto péssimo! não consegue bater várias frutas"
1176,"A entrega foi realizada rapidamente. além disso, o produto equivale ao anúncio. Achei bom que o copo não é de vidro, tornando assim bem leve de carregar."
1238,"Ele funciona, mas tem outras variações no mercado por 1/3 do valor"
1878,"Deixei carregando por 3hs da primeira vez. Consegui usar apenas duas vezes. No dia seguinte, estava descarregado. Carreguei novamente e levei para o trabalho. Funcionou apenas os primeiros 90 segundos e começou a piscar a luz vermelha. Muito ruim. Vou tentar devolver"
1292,"Ele não bate nada, raramente você consegue ligar! você encaixa todas as peças e mesmo assim ele não bate. Não bate uma banana, quando você consegue fazer ele funcionar é apenas para misturar a água com algum pó, mas de resto ele trava e não funciona. Ahhhh, ele também é super pequeno, não cabe nada. não comprem."
1225,"Veio super bem embalado, bate super bem, é prático e incrível, eu amei que além do copo vem um outro pra beber com tampinha! Muito fofo !!! o material é de ótima qualidade"
1568,"Adorei a aquisição. Ótima potência e tamanho, e pode ser recarregado e utilizado em qualquer lugar. Vem com o copos e tampa."
1508,"o produto superou minhas expectativas. e fácil manuseio, fácil higienização, bateria de grande durabilidade e bem potente pelo seu tamanho. Estou usando diariamente para bater Shakes, Wheys e Vitaminas, adicionados com frutas e gelo."
1182,"Eu não consegui usar o produto pois eu carreguei em casa e levei para usar no meu deslocamento, no entanto, ele não funciona, mostrando que foi descarregado. Por isso, creio que está com defeito e gostaria de um solução. Obrigada"
1776,Funcionou uma e nunca mais. Ele não liga se o copo não estiver encaixado corretamente e por alguma razão o copo nunca mais encaixou direito e o negócio nunca mais ligou.Péssimo e ainda me fez raiva.
1169,"Gostei muito do produto, boa qualidade dos materiais, bem embalado, cumpriu a data prevista de entrega. Super recomendo"
2788,"Qualidade pésssima! o produto estragou após alguns meses"
1909,"Ele de fato é um mini liquidificador, mas para pequenas quantidades e para alimentos líquidos, cremosos e frutas mais moles. Então funciona bem para sucos, vitaminas e batida de whey e chocolate. Tem uma potência média, muito boa para o tamanho!"
1244,"Produto ótimo, vem com 2 copos, o que é muito bom, além disso é super prático e fácil de lavar, ótimo para o dia a dia."
1621,"Ele funciona bem, porém ao comprar não observei o tamanho. Ele é muito pequeno."
1636,"Muito bom e prático pra usar no seu dia a dia."
3110,"o liquidificador é muito pequeno...poderia ser maior".
1883,"o liquidificador não é excelente, mas atende.Poderia ser melhor."
1092,"Amei o mini liquidificador. Muito prático e fácil de limpar! Super recomendo"
1673,"Produto com boa qualidade, rotativo e eficiente, atende o propósito!"
1419,"Excelente produto! Por ser portátil é muito prático. Além de lindo!"
1232,"Produto de excelente qualidade, fácil de manusear e bem potente."
1010,"Produto lindo , empolgado cortei uma maçã , peguei aveia, pus no copo do liquidificador , tive uma imensa dificuldade de acertar a borracha que vem para vedação e liguei o aparelho , cadê a força do liquidificador ? Depois de várias tentativas , desisti. não digam que estava descarregado, eu carreguei antes e depois do fracasso ."
1093,"Melhor compra possível. o motor é super forte!"
1337,"Uso para fazer sucos, mas não gostei da cor do produto. pedi uma cor e veio outra"
1731,"Já deixei carregando por mais de três horas e quando encaixo o copo ao liquidificador, e aperto o botão, o aparelho não funciona e a luz começa a piscar entre vermelha e azul. E fica assim e nada funciona."
1258,"Tritura perfeitamente frutas congeladas, desliga sozinho, foi um ótimo investimento! Produto leve, baixo ruído, estou satisfeita!"
1408,"É de fácil uso, de limpar, bonitinho, etc. Mas a potência é fraca demais."
1270,"Respondeu as minhas expectativas. Muito bom para pequenas quantidades e com boa qualidade."
1469,"Ele é bom para frutas moles, mas tem dificuldade com outras como uvas e maçãs."
3412,"Achei o material do copo ruim! é frágil"
1355,"Muito fácil de utilizar e de limpar."
1184,"Ele é prático e fácil de lavar, porem poderia ser maior"
1618,"Produto é bom para enfeite, porém é um enfeite muito caro. Com menos de 4 meses a bateria já não segura mais carga.Passa a noite toda no carregador e pela manha funciona menos de 40 segundos. Ele não presta, não comprem. Dinheiro jogado fora"
1959,"Produto excelente e recomendo"
1101,"Minha esposa adorou o produto e eu tbm, muito satisfeito com a compra."
1245,"Excelente para levar para o trabalho, viagem, muito prático e potente. Levo as frutas congeladas e tritura com eficiência."
1046,"Produto muito fraco, não cumpre com o divulgado na propaganda, mal bate frutas frescas. Usado umas 4 vezes já pifou, e não funciona mais. 1 estrela pois não tem como ser menos"
1512,"Produto maravilhoso, baixo custo e atendeu prontamente minha necessidade. Fiquei muito satisfeita com o produto. Uso diariamente no meu trabalho para bater vitaminas. Indico a compra. Obrigada"

